vendor,total_transactions,total_amount,flagged_transactions,avg_composite_risk
Raymond-Lucas,61,1106347.99,4,0.1676887462993458
Francis-Burke,66,1086642.12,5,0.147569964688233
Torres-Mendoza,102,1864698.3,3,0.12541692974692395
Reyes-Glover,101,1761120.57,6,0.1218096532394758
Evans Ltd,100,2098438.48,5,0.11539564747001205
Murphy Inc,69,1041068.3099999999,3,0.11534713373876573
Gross-Morrison,101,1842447.25,8,0.11337310184711491
Smith-Parker,100,1774181.24,7,0.1123895645111462
Young Inc,72,1048985.98,1,0.0972967117293857
Stewart-Russell,73,1260423.75,4,0.09700239668391751
"Cherry, Martin and Compton",72,1159617.18,2,0.0959976853273567
"Smith, Montgomery and Reyes",97,1617327.52,6,0.09215318400127775
"Howard, Tucker and Flores",72,1573118.44,2,0.09117356765065426
Willis Group,75,1186929.82,3,0.08824728810848616
"Hernandez, Hopkins and Houston",74,1029535.1,2,0.0871293309297115
Stevens-Gibson,96,1735074.43,5,0.08363848836891374
Nichols LLC,75,1478426.17,4,0.08322282674499451
"Durham, Bowen and Hess",76,1395590.8900000001,2,0.0827868520045391
Mays-Ortega,73,1474731.11,1,0.08107565587735577
Schneider-Clark,95,1838989.57,4,0.0807997761338211
Lopez Ltd,77,1341817.04,3,0.07965516673976146
Miller LLC,94,1515296.58,1,0.07874885974974924
"Silva, Jones and Oliver",96,2054644.54,6,0.07844511665461838
Gomez Ltd,75,1114074.25,4,0.07828353267040462
Jones Ltd,90,1495590.74,9,0.07760914128840221
Harris PLC,90,1941364.66,9,0.07420923991150913
"Flores, Hood and Brown",80,1431042.89,2,0.07393009857095485
Rogers Ltd,93,1636545.16,6,0.07384126045986036
Rivera-Charles,77,1268568.34,2,0.073331283184962
"Morton, Reynolds and Anderson",82,1395893.07,8,0.0732170103398178
"Duncan, Graham and Stark",81,1292831.72,4,0.07287168692502331
Powers Group,81,1449323.2,5,0.0725241413510075
"Decker, Eaton and Arnold",77,1307469.91,0,0.0711615429331076
"Brown, Baker and Alvarado",78,1375010.03,4,0.070335604177887
"Dixon, Jackson and Benjamin",87,1404269.32,3,0.06903860470930677
Tucker Group,91,1857626.2,1,0.06893666047180229
Scott-Bailey,93,1872118.99,2,0.06867229407051968
Becker-Martinez,80,1269533.99,2,0.06829411347877637
"Nelson, Duncan and Smith",81,1491183.39,3,0.06759823704240542
Ballard-Jenkins,80,1346723.26,5,0.06696295819461176
"White, Tucker and Wolf",81,1430541.86,5,0.06662293141307846
Hughes-Nichols,88,1385848.06,3,0.06642065673969971
Cowan-Powers,82,1431327.3,2,0.06596241654221097
Galvan Group,90,1527144.5,1,0.06569741113599123
Jones Inc,80,1325617.23,5,0.06422670727282008
"Robles, Moses and Morgan",89,1447134.88,4,0.06412102573468627
Harper-Hernandez,86,1438859.91,1,0.06403868145473275
Smith-Wise,84,1268251.62,5,0.06399205921846556
"Gardner, Perry and Cruz",86,1517740.53,3,0.062364412115303476
Humphrey-Berg,85,1547936.91,1,0.06172128801732306
Mora-Lynn,90,1567810.16,3,0.06161017744373275
"Jefferson, Sullivan and Young",87,1376557.47,1,0.061232394462554185
Davidson-Frank,87,1413730.7,3,0.06099633419763116
Pearson PLC,92,1949762.57,2,0.06094821030753184
"Yang, Weber and Nielsen",86,1572849.14,2,0.05860505123785083
Hopkins Inc,85,1768492.6,3,0.057921315256478915
Larson PLC,82,1460683.8800000001,3,0.056453443004436936
White-Thomas,84,1842051.72,4,0.056305295365767956
"Martin, Brewer and Young",83,1562352.3599999999,2,0.0549813001620504
"Mills, Crane and Kim",87,1453366.34,4,0.05360042362251854
